pool_id,total_stakes,total_rewards
1646,2371859121993403,1124813711101
1647,338164418562152,256211108088
1649,51647048848299,30570532204
1650,50699990247526,36393490719
1651,51200038284075,72786981440
1652,55746889251433,43672188864
1657,74078251492227675,47669601663012
1658,1113289240598150,901957456857
1659,33213274600750,21878709330
1660,50490163917641,113548208160
1661,50477867784227,109180969386
1662,50449548554791,93895633671
1663,50475427431502,89528394897
1664,50485993966212,98262872445
1665,50466166329888,116459700676
1666,9579714331339,26203432641
1674,73862245545858,75689800576
1676,46209293010276,16018416150
1677,8226753524422875,8136420099903
1680,1746896768001900,1323747808748
1684,301378119438568857,229250178041058
1688,47155511754222384,45639245662244
1689,311191704611795,221322791040
1690,169884441281952,344384491598
1691,370856047866824,291214201808
1692,248006524846404,165992090088
1693,291317139863160,157255658406
1694,750934848992140,649139043971
1695,83695114770419555,58007574968235
1697,102711805320908,61154949933
1700,2619069708206490,1543434217596
1703,49828084878471,16760814863
1708,1248958522594944,840251141360
1709,52454376458476992,23279771629125
1714,15410185120075016,13602994155694
1715,32399628823604,25481186220
1717,116949964444509070,81693846412653
1722,56612936095560,26228844756
1726,30157648352083328,24406662778476
1728,2546400715827516,1039299158469
1731,7643387018670,10924508490
1732,5687823362765184,4387044154200
1733,8439558204444,17478290916
1734,2371922870987400,1905993964204
1735,8867599747990,3639614860
1739,684207691189330,418730989255
1740,28769122315128170,17033135074272
1743,862998156317344,942004675040
1745,1882689056871252,1030698741996
1747,74693829645532190,47987578514201
1750,82256909359612,50956421810
1752,606729152188692,307456977408
1756,147644712115600,235839318606
1760,88693790945916,45138061283
1765,64328597689869,110338464984
1766,64328591517480,39273012110
1767,64328684743223,95377346324
1768,64328591517480,65455020183
1769,64328594017480,50493873155
1797,44163575758635760,25319480144400
1801,4952069000689278,3743387616640
1804,768948837407732,215864422686
1805,432539426301408,318821473047
1806,62634479981880,45161280562
1807,379316749370832,236807138844
1808,196692516043833,137567396166
1811,459701253790646,327541419423
1812,328348612966030,251115088245
1813,525284465961168,360295561377
1814,459517717409373,336275857274
1815,657401923521950,320262721190
1816,393631698327684,315895502307
1817,525167047127640,343554555488
1818,1115788859146236,772997749740
1819,525465334888456,279502011248
1820,525357008944632,331908638344
1821,396119070298860,291954059886
1822,281386867861400,256210176728
1826,213886853075172,83705028640
1827,1048600762151264,710400938736
1829,1148425180331257752,754010110438983
1842,19702617381091510,13576626478184
1847,18443752223848,10190639760
1851,5955945283986,16742728146
1857,262711378756848,200892070592
1861,1434178833682445,938179789520
1864,205517607709898,211110852646
1866,10424181345837000,4718088110975
1867,131786998936741764,101895706003680
1870,7010202158545221,4816830216240
